,Rank,Year,Country,In-Game Name,Player Name,Total (Year),Total (Overall),Game,# of Tournaments
5,6.,2013,United States,Brian Dragotto,Brian Dragotto,"$290,000.00","$290,000.00",Brian Dragotto - Turbo Racing League Player,3
6,7.,2013,"Korea, Republic of",Faker,"Lee, Sang Hyeok","$229,659.02","$1,309,607.54","Lee ""Faker"" Sang Hyeok - League of Legends Player",56
7,8.,2013,"Korea, Republic of",PoohManDu,"Lee, Jeong Hyeon","$223,391.45","$256,771.39","Lee ""PoohManDu"" Jeong Hyeon - League of Legends Player",15
8,9.,2013,"Korea, Republic of",Bengi,"Bae, Seong Ung","$220,649.20","$810,683.00","Bae ""Bengi"" Seong Ung - League of Legends Player",21
9,10.,2013,"Korea, Republic of",Piglet,"Chae, Gwang Jin","$220,649.20","$265,429.15","Chae ""Piglet"" Gwang Jin - League of Legends Player",19
10,11.,2013,"Korea, Republic of",Impact,"Jung, Eon Yeong","$219,860.22","$515,306.14","Jung ""Impact"" Eon Yeong - League of Legends Player",36
11,12.,2013,United States,Ace,Aaron Elam,"$202,625.00","$354,050.00","Aaron ""Ace"" Elam - Halo Player",64
12,13.,2013,Ukraine,Funn1k,Gleb Lipatnikov,"$158,119.18","$421,131.92","Gleb ""Funn1k"" Lipatnikov - Dota 2 Player",89
13,14.,2013,Germany,KuroKy,Kuro Takhasomi,"$157,131.09","$5,215,504.15","Kuro ""KuroKy"" Takhasomi - Dota 2 Player",118
14,15.,2013,Ukraine,Dendi,Danil Ishutin,"$157,059.18","$809,470.53","Danil ""Dendi"" Ishutin - Dota 2 Player",116
15,16.,2013,Ukraine,XBOCT,Oleksandr Dashkevych,"$157,059.18","$662,208.09","Oleksandr ""XBOCT"" Dashkevych - Dota 2 Player",77
16,17.,2013,Estonia,Puppey,Clement Ivanov,"$155,459.18","$3,607,594.23","Clement ""Puppey"" Ivanov - Dota 2 Player",136
17,18.,2013,"Korea, Republic of",sOs,"Kim, Yoo Jin","$151,268.69","$647,312.84","Kim ""sOs"" Yoo Jin - StarCraft II Player",102
18,19.,2013,Sweden,BorasLegend,Ivan Lapanje,"$145,378.56","$182,905.87","Ivan ""BorasLegend"" Lapanje - FIFA Player",14
